Code	Preferred Term	Synonyms	Definition	Neoplastic Status
C7991	Salivary Gland Squamous Cell Carcinoma	Epidermoid Carcinoma of Salivary Gland|Epidermoid Carcinoma of the Salivary Gland|SCC of Salivary Gland|SCC of the Salivary Gland|Salivary Gland Epidermoid Carcinoma|Salivary Gland SCC|Squamous Cell Carcinoma of Salivary Gland|Squamous Cell Carcinoma of the Salivary Gland	"A squamous cell carcinoma arising from the salivary glands.  The majority of patients are in their sixth through eight decades.  It usually presents as a rapidly enlarging mass, which may be painful.  It usually has an aggressive clinical course."	Malignant
C8024	Salivary Gland Undifferentiated Carcinoma	Anaplastic Carcinoma of Salivary Gland|Anaplastic Carcinoma of the Salivary Gland|Anaplastic Salivary Gland Carcinoma|Salivary Gland Anaplastic Carcinoma|Undifferentiated Carcinoma of Salivary Gland|Undifferentiated Carcinoma of the Salivary Gland|Undifferentiated Salivary Gland Carcinoma	"A salivary gland carcinoma characterized by the presence of undifferentiated, anaplastic malignant epithelial cells."	Malignant
C9118	Sarcoma	Sarcoma of Soft Tissue and Bone|Sarcoma of the Soft Tissue and Bone|Sarcoma	"A usually aggressive malignant neoplasm of the soft tissue or bone. It arises from muscle, fat, fibrous tissue, bone, cartilage, and blood vessels. Sarcomas occur in both children and adults. The prognosis depends largely on the degree of differentiation (grade) of the neoplasm. Representative subtypes are liposarcoma, leiomyosarcoma, osteosarcoma, and chondrosarcoma."	Malignant
C27004	Sarcomatoid Carcinoma	Pseudosarcomatous Carcinoma|Sarcomatoid Carcinoma|Spindle Cell Carcinoma	A malignant epithelial neoplasm characterized by the presence of spindle cells and anaplastic morphologic features.  Giant cells and a sarcomatous component may also be present.	Malignant
C45655	Sarcomatoid Mesothelioma		A diffuse malignant mesothelioma arising from the pleura and less often the peritoneum.  It is characterized by the presence of spindle cells.  Anaplastic morphologic features and multinucleated malignant cells may also be seen.	Malignant
C27893	Sarcomatoid Renal Cell Carcinoma		A high grade carcinoma of the kidney.  It is not a distinct clinicopathological entity and includes a diverse group of renal cell carcinomas which have been transformed from a lower to a higher grade.	Malignant
C3269	Schwannoma	Benign Neurilemmoma|Benign Schwannoma|Neurilemmoma|Schwannoma (WHO Grade I)|Schwannoma	"A benign, usually encapsulated slow growing tumor composed of Schwann cells.  It affects peripheral and cranial nerves.  It recurs infrequently and only rare cases associated with malignant transformation have been reported."	Benign
C121655	Sclerosing Rhabdomyosarcoma		An uncommon variant of rhabdomyosarcoma with sclerosing morphology.  It usually arises from the limbs.	Malignant
C4174	Sebaceous Adenoma	Adenoma of Sebaceous Gland|Adenoma of the Sebaceous Gland|Sebaceous Gland Adenoma|Skin Appendage Sebaceous Adenoma	"A benign, well circumscribed neoplasm arising from the sebaceous glands. It usually presents as a small yellowish tumor in the sun exposed skin of head and neck. It is characterized by the presence of sebaceous cells aggregates with a peripheral rim of basaloid cells."	Benign
C40310	Sebaceous Carcinoma	Carcinoma of Sebaceous Gland|Carcinoma of the Sebaceous Gland|Sebaceous Gland Carcinoma	"An adenocarcinoma with sebaceous differentiation. It presents as a painless mass and it may be multifocal. It grows in the ocular adnexae and in the skin of head and neck, trunk, genitals, and extremities. It is characterized by the presence of malignant cells with multivesicular and clear cytoplasm. It may recur and metastasize."	Malignant
C25765	Secondary Acute Myeloid Leukemia	Secondary AGL|Secondary AML|Secondary Acute Granulocytic Leukemia|Secondary Acute Myeloblastic Leukemia|Secondary Acute Myelocytic Leukemia|Secondary Acute Myelogenous Leukemia	"An acute myeloid leukemia secondary to a myelodysplastic syndrome or therapy-related.  (WHO, 2001)"	Malignant
C27482	Secondary Chondrosarcoma		A chondrosarcoma that arises either in a pre-existing enchondroma or close to the cartilaginous cap of a pre-existing osteochondroma.	Malignant
C53704	Secondary Osteosarcoma	Secondary Bone Osteosarcoma	"An osteosarcoma arising from a pre-existing lesion of the bone, usually Paget disease, or due to radiation therapy."	Malignant
C4189	Secretory Breast Carcinoma	Cystic Hypersecretory Breast Carcinoma|Cystic Hypersecretory Carcinoma of Breast|Cystic Hypersecretory Carcinoma of the Breast|Infiltrating Cystic Hypersecretory Duct Breast Carcinoma|Invasive Cystic Hypersecretory Duct Breast Carcinoma|Juvenile Breast Carcinoma|Juvenile Carcinoma of Breast|Juvenile Carcinoma of the Breast|Juvenile Secretory Breast Carcinoma|Juvenile Secretory Carcinoma of Breast|Juvenile Secretory Carcinoma of the Breast|Secretory Carcinoma of Breast|Secretory Carcinoma of the Breast|Secretory Carcinoma	"A rare, low grade invasive adenocarcinoma of the breast characterized by the presence of cells that secrete milk-like material. Morphologically, it usually appears as a circumscribed lesion, composed of cystic spaces, tubular structures, and solid areas."	Malignant
C4718	Secretory Meningioma		A WHO grade I meningioma characterized by the presence of epithelial differentiation and numerous intracellular PAS positive bodies that are rich in glycogen.	Undetermined
C9309	Seminoma	"Seminoma, Pure"	"A radiosensitive malignant germ cell tumor found in the testis (especially undescended), and extragonadal sites (anterior mediastinum and pineal gland).  It is characterized by the presence of uniform cells with clear or dense cytoplasm which contains glycogen, and by a large nucleus which contains one or more nucleoli.  The neoplastic germ cells form aggregates separated by fibrous septa.  The fibrous septa contain chronic inflammatory cells, mainly lymphocytes."	Malignant
C40101	Serous Adenocarcinoma		"An adenocarcinoma that is characterized by the presence of papillary patterns and cellular budding. Psammoma bodies may be present.  Representative examples include cervical serous adenocarcinoma, endometrial serous adenocarcinoma, ovarian serous adenocarcinoma, and primary peritoneal serous adenocarcinoma."	Malignant
C40152	Serous Endometrial Intraepithelial Carcinoma	Endometrial Intraepithelial Carcinoma|Endometrial Serous Carcinoma in Situ|Endometrial Serous Intraepithelial Carcinoma|Endometrial Surface Serous Carcinoma	"A precursor of endometrial serous adenocarcinoma characterized by the replacement of the normal endometrial cells by malignant glandular cells that resemble the malignant cells of invasive serous adenocarcinoma. The endometrial neoplastic process is non-invasive. It may coexist with invasive endometrial adenocarcinoma or can be associated with metastases outside the uterus, in the absence of invasive endometrial carcinoma."	Malignant
C3366	Sezary Syndrome	Sezary Syndrome|Sezary's Disease|Szary Syndrome	"A generalized peripheral (mature) T-cell neoplasm characterized by the presence of erythroderma, lymphadenopathy, and neoplastic, cerebriform T-lymphocytes in the blood.  Sezary syndrome is an aggressive disease. (WHO, 2001)"	Malignant
C3774	Signet Ring Cell Carcinoma	Signet Ring Cell Adenocarcinoma|Signet Ring Cell Carcinoma	"A usually aggressive, poorly differentiated invasive adenocarcinoma characterized by the presence of malignant glandular cells in which the nucleus is pressed to one side by the presence of intracytoplasmic mucus. It may arise from the stomach, small and large intestine, ampulla of Vater, appendix, gallbladder, pancreas, lung, bladder, breast, and prostate gland."	Malignant
C5250	Signet Ring Cell Gastric Adenocarcinoma	Gastric Signet Ring Cell Adenocarcinoma|Signet Ring Cell Adenocarcinoma of Stomach|Signet Ring Cell Adenocarcinoma of the Stomach|Signet Ring Cell Stomach Adenocarcinoma	A poorly cohesive gastric adenocarcinoma characterized by malignant cells containing intracytoplasmic mucin.	Malignant
C54250	Skin Adenosquamous Carcinoma			Malignant
C4489	Skin Angiosarcoma	Angiosarcoma of Skin|Angiosarcoma of the Skin|Hemangiosarcoma of Skin|Hemangiosarcoma of the Skin|Skin Hemangiosarcoma	A malignant vascular neoplasm arising from the skin.	Malignant
C2921	Skin Basal Cell Carcinoma	Basal Cell Cancer|Basal Cell Carcinoma of Skin|Basal Cell Carcinoma of the Skin|Basal Cell Carcinoma|Basal Cell Epithelioma|Basal Cell Skin Carcinoma	"The most frequently seen skin cancer. It arises from basal cells of the epidermis and pilosebaceous units. Clinically it is divided into the following types: nodular, ulcerative, superficial, multicentric, erythematous, and sclerosing or morphea-like. More than 95% of these carcinomas occur in patients over 40. They develop on hair-bearing skin, most commonly on sun-exposed areas. Approximately 85% are found on the head and neck and the remaining 15% on the trunk and extremities. Basal cell carcinoma usually grows in a slow and indolent fashion. However, if untreated, the tumor may invade the subcutaneous fat, skeletal muscle and bone. Distant metastases are rare. Excision, curettage and irradiation cure most basal cell carcinomas."	Malignant
C4914	Skin Carcinoma	"Carcinoma of Skin|Carcinoma of the Skin|Non-Melanoma Cancer of Skin|Non-Melanoma Cancer of the Skin|Non-Melanoma Skin Cancer|Skin Cancer, Non-Melanoma|Skin Carcinoma"	A carcinoma that arises from the skin.  Representative examples are basal cell carcinoma and squamous cell carcinoma.	Malignant
C4905	Skin Hemangioma	Angioma of Skin|Angioma of the Skin|Hemangioma of Skin|Hemangioma of the Skin|Skin Angioma	A hemangioma arising from the skin.	Benign
C27509	Skin Lymphangioma	Cutaneous Lymphangioma	A lymphangioma arising from the skin.	Benign
C4614	Skin Papilloma	Cutaneous Papilloma|Papilloma of Skin|Papilloma of the Skin	"A benign papillary neoplastic growth on the skin composed of epithelial cells and a fibrous stalk.  It usually develops in the eyelid, axilla, neck, upper chest, and groin."	Benign
C4819	Skin Squamous Cell Carcinoma	Cutaneous Squamous Cell Carcinoma|Epidermoid Carcinoma of Skin|Epidermoid Carcinoma of the Skin|Epidermoid Skin Carcinoma|Squamous Cell Carcinoma of Skin|Squamous Cell Carcinoma of the Skin|Squamous Cell Skin Carcinoma	A carcinoma arising from the squamous cells of the epidermis.  Skin squamous cell carcinoma is most commonly found on sun-exposed areas.  The majority of the tumors are well-differentiated.	Malignant
C5453	Skull Base Chordoma	Chordoma of Skull Base|Chordoma of the Skull Base	"A slow-growing malignant bone tumor arising from the remnants of the notochord and occurring in the base of the skull. It is characterized by a lobulated growth pattern, myxoid stroma formation, and the presence of physaliphorous cells.."	Malignant
C3915	Small Cell Carcinoma	Small Cell Cancer|Small Cell Carcinoma|Small Cell NEC|Small Cell Neuroendocrine Carcinoma	"A neuroendocrine carcinoma composed of small malignant cells which are often said to resemble ""oat cells"" under the microscope.  Small cell carcinoma most often affects the lungs.  Clinically, this is often a rapidly growing cancer that spreads to distant sites early."	Malignant
C125890	Small Cell Glioblastoma		A morphologic variant of glioblastoma characterized by the presence of a highly proliferative and monotonous population of malignant small glial cells.	Malignant
C4917	Small Cell Lung Carcinoma	Lung Small Cell Neuroendocrine Carcinoma|Small Cell Carcinoma of Lung|Small Cell Carcinoma of the Lung|Small Cell Lung Cancer|Small Cell Neuroendocrine Carcinoma of Lung|Small Cell Neuroendocrine Carcinoma of the Lung	A highly aggressive subtype of lung carcinoma characterized by the presence of malignant small cells and necrosis. Metastatic disease is usually present at the time of diagnosis.	Malignant
