?concentration_phenotype	?label	?definition	?parents
<http://purl.obolibrary.org/obo/HP_0010894>	"Abnormal circulating serine family amino acid concentration"	"Any deviation from the normal concentration of a serine family amino acid in the blood circulation."	"Abnormal circulating proteinogenic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0025685>	"Increased amyloid beta 42 peptide CSF concentration"@en	"An elevation above the normal concentration of amyloid beta 42 peptide in the cerebrospinal fluid (CSF)."	"Abnormal amyloid beta 42 peptide CSF concentration"
<http://purl.obolibrary.org/obo/HP_0033983>	"Decreased circulating apolipoprotein C-II concentration"	"Reduced concentration of apolipoprotein C-II in the blood circulation."	"Decreased circulating apolipoprotein concentration"
<http://purl.obolibrary.org/obo/HP_0032414>	"Hydroxylysinuria"	"The presence of an elevated amount of 5-hydroxylysine in the urine. This compound is a hydroxylated derivative of the amino acid lysine that is present in certain collagens."	"Increased urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0500149>	"Hyperglutamatemia"	"Concentration of glutamate in the blood circulation above the upper limit of normal."	"Abnormal circulating glutamate concentration"
<http://purl.obolibrary.org/obo/HP_0034384>	"Elevated circulating insulin:C-peptide ratio"	"Increased ratio of insulin to C-peptide in the blood circulation."	"Abnormal circulating insulin concentration"
<http://purl.obolibrary.org/obo/HP_0034657>	"Elevated urine malonic acid level"	"The concentration of malonic acid in the urine, normalized for urine concentration, is above the upper limit of normal."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0011969>	"Elevated circulating luteinizing hormone level"	"An elevated concentration of luteinizing hormone in the blood."	"Increased circulating gonadotropin level, Abnormal circulating luteinizing hormone concentration"
<http://purl.obolibrary.org/obo/HP_0500244>	"Increased CSF ornithine concentration"@en	"Abnormally increased levels of ornithine in cerebrospinal fluid."	"Abnormal CSF ornithine concentration"
<http://purl.obolibrary.org/obo/HP_0020148>	"Increased circulating mead acid level"	"An abnormally elevated concentration od mead acid in the blood circulation."	"Elevated circulating long chain fatty acid concentration"
<http://purl.obolibrary.org/obo/HP_6000243>	"Reduced circulating cortisol-binding globulin concentration"	"The concentration of cortisol-binding globulin in the blood circulation is below the lower limit of normal."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0500150>	"Hypoglutamatemia"	"A decreased amount of glutamate in the blood."	"Abnormal circulating glutamate concentration"
<http://purl.obolibrary.org/obo/HP_0031484>	"Cold-induced hemolysis"	"A form of hemolytic anemia that can be triggered by cold temperatures."	"Hemolytic anemia"
<http://purl.obolibrary.org/obo/HP_0025133>	"Abnormal serum estradiol"@en	"A deviation from normal concentrations of estradiol in the circulation."	"Abnormal circulating estrogen level"
<http://purl.obolibrary.org/obo/HP_6000214>	"Decreased 3-hydroxyisobutyrate dehydrogenase activity"	"The activity of 3-hydroxyisobutyrate dehydrogenase in the blood circulation is below the lower limit of normal."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0034872>	"Decreased CSF epinephrine concentration"	"Concentration of epinephrine in the cerebrospinal fluid below the lower limit of normal."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0033799>	"Abnormal circulating sex hormone concentration"	"Any deviation from the normal concentration of a sex hormone in the blood circulation"	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0500199>	"Abnormal CSF glutamate concentration"@en	"Any deviation from the normal concentration of glutamic acid in the cerebrospinal fluid."	"Abnormal CSF glutamine family amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0012601>	"Hypochloriduria"	"An decreased concentration of chloride in the urine."	"Abnormal urine chloride concentration"
<http://purl.obolibrary.org/obo/HP_0033410>	"Elevated circulating cartilage oligomeric matrix protein concentration"	"An increased blood concentration of cartilage oligomeric matrix protein (COMP)."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_6000385>	"Elevated circulating soluble CD163 concentration"	"The concentration of Soluble CD163 in the blood circulation is above the upper limit of normal."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0040146>	"D-2-hydroxyglutaric acidemia"		"Dicarboxylic acidemia"
<http://purl.obolibrary.org/obo/HP_0500233>	"Increased CSF alanine concentration"@en	"Abnormally increased levels of alanine in cerebrospinal fluid."	"Abnormal CSF alanine concentration"
<http://purl.obolibrary.org/obo/HP_0010930>	"Abnormal blood monovalent inorganic cation concentration"	"An abnormality of monovalent inorganic cation homeostasis."	"Abnormal blood cation concentration"
<http://purl.obolibrary.org/obo/HP_0000127>	"Renal salt wasting"	"A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s)."	"Abnormal urinary electrolyte concentration"
<http://purl.obolibrary.org/obo/HP_0035023>	"Elevated circulating acetylcarnitine concentration"	"Concentration of acetylcarnitine (C2 acylcarnitine) in the blood circulation above the upper limit of normal. Acetylcarnitine has a two-carbon acyl chain."	"Elevated circulating short-chain acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0032205>	"Increased circulating galectin-3 level"	"An increased circulation of galectin-3 in the blood circulation."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0033325>	"Elevated circulating sebacic acid concentration"	"Increased concentration of sebacic acid in the blood circulation."	"Abnormal circulating dicarboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0003146>	"Hypocholesterolemia"	"An decreased concentration of cholesterol in the blood."	"Abnormal circulating cholesterol concentration"
<http://purl.obolibrary.org/obo/HP_0500154>	"Hypoalaninemia"	"A decreased amount of alanine in the blood."	"Abnormal circulating alanine concentration"
<http://purl.obolibrary.org/obo/HP_0012544>	"Elevated circulating aldolase concentration"	"Concentration of fructose 1,6-bisphosphate aldolase in the blood circulation above the upper limit of normal."	"Abnormal circulating aldolase concentration"
<http://purl.obolibrary.org/obo/HP_0010569>	"Elevated circulating 7-dehydrocholesterol concentration"	"Concentration of 7-dehydrocholesterol in the blood circulation above the upper limit of normal."	"Abnormal circulating 7-dehydrocholesterol concentration"
<http://purl.obolibrary.org/obo/HP_0031029>	"Elevated circulating carcinoembryonic antigen concentration"	"Concentration of the carcinoembryonic antigen (CEA) in the blood circulation above the upper limit of normal. CEA is a member of the immunoglobulin supergene family. The human CEA gene family is clustered on chromosome 19q and comprises 29 genes. CEA is highly expressed in embryonic tissue and in some cancers, and is a widely used tumor marker."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0000117>	"Renal phosphate wasting"	"High urine phosphate in the presence of hypophosphatemia."	"Abnormal urine phosphate concentration"
<http://purl.obolibrary.org/obo/HP_0034901>	"Increased circulating vitamin E concentration"	"Concentration of vitamin E in the blood circulation above the upper limit of normal."	"Abnormal circulating vitamin E concentration"
<http://purl.obolibrary.org/obo/HP_0002927>	"Histidinuria"	"An increased concentration of histidine in the urine."	"Increased proteinogenic amino acid level in urine"
<http://purl.obolibrary.org/obo/HP_0010979>	"Abnormality of lipoprotein cholesterol concentration"	"An abnormal increase or decrease in the level of lipoprotein cholesterol in the blood."	"Abnormal circulating cholesterol concentration"
<http://purl.obolibrary.org/obo/HP_0500221>	"Decreased CSF tyrosine concentration"@en	"Abnormally decreased levels of tyrosine in cerebrospinal fluid."	"Abnormal CSF tyrosine concentration"
<http://purl.obolibrary.org/obo/HP_0034923>	"Reduced liver carboxylesterase 1 activity"	"Activity of the enzyme carboxylesterase 1 in liver tissue below the lower limit of normal."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0012278>	"Abnormal circulating serine concentration"	"Any deviation from the normal concentration of serine in the blood circulation."	"Abnormal circulating serine family amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0031508>	"Abnormal circulating thyroid hormone concentration"	"Any deviation from the normal range of the hormones produced by the thyroid gland."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0500215>	"Abnormal CSF phenylalanine concentration"@en	"Any deviation from the normal concentration of phenylalanine in the cerebrospinal fluid."	"Abnormal CSF aromatic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0500184>	"Abnormal CSF amino acid concentration"@en	"Any deviation from the normal concentration of amino acids in the cerebrospinal fluid."	"Abnormal CSF carboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0034734>	"Elevated CSF argininosuccinic acid concentration"	"Concentration of argininosuccinic acid in the cerebrospinal fluid (CSF) above the upper limit of normal."	"Abnormal CSF amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0033111>	"3-hydroxyisovaleric aciduria"	"Concentration of 3-hydroxyisovaleric acid in the urine above the normal range."	"Organic aciduria"
<http://purl.obolibrary.org/obo/HP_0012608>	"Hypermagnesiuria"	"An increased concentration of magnesium the urine."	"Abnormal urine magnesium concentration"
<http://purl.obolibrary.org/obo/HP_0004810>	"Congenital hypoplastic anemia"	"A type of hypoplastic anemia with congenital onset."	"Hypoplastic anemia"
<http://purl.obolibrary.org/obo/HP_0040144>	"L-2-hydroxyglutaric aciduria"	"An increase in the level of L-2-hydroxyglutaric acid in the urine."	"2-hydroxyglutarate aciduria"
<http://purl.obolibrary.org/obo/HP_0410236>	"Increased anti-venom IgE antibody level"	"Increased level of IgE antibody against venom from insects such as bees, wasps, hornets, yellowjackets."	"Increased anti-insect IgE antibody level"
<http://purl.obolibrary.org/obo/HP_0004912>	"Hypophosphatemic rickets"		"Hypophosphatemia"
<http://purl.obolibrary.org/obo/HP_0030348>	"Increased circulating androgen concentration"	"An elevation of the blood concentration of an androgen, that is, of a steroid hormone that controls development and maintenance of masculine characteristics. The androgens include testosterone and Dehydroepiandrosterone."	"Abnormal circulating androgen level"
<http://purl.obolibrary.org/obo/HP_0410288>	"Hyperamylasemia"	"Increased level of amylase in the blood, an enzyme which helps digest glycogen and starch. It is produced mainly in the pancreas and salivary glands."	"Abnormal circulating amylase concentration"
<http://purl.obolibrary.org/obo/HP_6000401>	"Reduced circulating protein Z concentration"	"The concentration of protein Z in the blood circulation is below the lower limit of normal."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0033503>	"Elevated CSF fumarate concentration"	"An increased concentration of fumarate, an intermediate in the citric acid cycle, in the cebrebrospinal fluid."	"Abnormal CSF metabolite concentration"
